placeName;getty;gnd;long;lat;comment
Ilmenau;;4026566-3;+010.918580;+050.683219;
Impruneta;7006144;;11.25;43.7;
Ingelfingen;;4095959-4;+009.653029;+049.300280;
Ingelheim am Rhein;;4026954-1;+008.058611;+049.970555;
Ingolstadt;7017035;4026991-7;11.45;48.7667;
Innsbruck;7003249;;11.4;47.2667;
Isny;7006097;;10.0333;47.7;
Isny;7006097;;10.0333;47.7;
Istanbul;7002473;;28.95;41.0333;
Izmir;;4096359-7;+027.138380;+038.412730;
İzmit;;4109182-6;+029.916940;+040.766939;
Jena;;4028557-1;+011.589900;+050.928780;
Jena;7005973;;11.5833;50.9333;
Jerusalem;;4028586-8;+035.216329;+031.769040;
Jever;;4028611-3;+007.898055;+053.573611;
Jöhstadt;;4096530-2;+013.094599;+050.512290;
Jülich;;4028835-3;+006.363950;+050.922699;
Kairo-al-Fustat;;4225633-1;+031.239270;+030.007370;
Kairuan;;4029239-3;+010.096330;+035.678100;
Kaisheim;7012523;;10.8;48.7667;
Kalkhorst;1037035;;11.0667;53.9667;
Kamen;;4029404-3;+007.663800;+051.592309;
Kamenz;;4029407-9;+014.093611;+051.267777;
Kampen;7006948;;5.9167;52.55;
Karlovy Vary;7011521;4029705-6;12.8667;50.2167;
Karlsbad;7011521;4029705-6;12.8667;50.2167;
Karlsburg;7153637;; 53.9667; 53.9667;
Karlsruhe;7004424;4029713-5;8.4;49.05;
Karlstadt;7012525;4029720-2;+009.772389;+049.960340;
Karthago;;4029802-4;+010.331609;+036.861080;
Kaschau;7011529;;21.25;48.7333;
Kassel;;4029869-3;+009.500000;+051.316666;
Kaufbeuren;;4030060-2;+010.621919;+047.882379;
Kaysersberg;;4235954-5;+007.263849;+048.138030;
Kellinghusen;;4030200-3;+009.719590;+053.952019;
Kemberg;;7732047-5;+012.632222;+051.771944;
Kempen (Kreis Viersen);;4030225-8;+006.418333;+051.364166;
Kempten;7012530;;10.3167;47.7333;
Kiel;7004457;4030481-4;10.1333;54.3333;
Kirchhain;;4030779-7;+008.928060;+050.827199;
Kitzingen;;4030899-6;+010.150719;+049.739730;
Kjósarsýsla;7006269;;-21.85;64.1667;
Klagenfurt;7003084;;14.3333;46.6333;
Kleve;7012313;;6.1833;51.7833;
Klosterneuburg;7003187;;16.3333;48.3167;
Knittlingen;;4031307-4;+008.756059;+049.024869;
Koblenz;7004448;;7.6;50.35;
Kolberg;7007688;;15.5833;54.1833;
Konstantinopel;;4073697-0;+028.949444;+041.013611;
Konstanz;7005174;;9.1667;47.6667;
Kopenhagen;7003474;4032399-7;12.5667;55.7167;
Korbach;;4032450-3;+008.872999;+051.275610;
Kostrzyn;7007723;;14.6667;52.5833;
Kołobrzeg;7007688;;15.5833;54.1833;
Krakau;7007652;;19.9167;50.05;
Krassolzheim;7150115;;10.3500;49.6000;
Krempe;;4033041-2;+009.488300;+053.836939;
Krems;7003173;;15.6;48.4167;
Kremsmünster;7003302;;14.1333;48.0833;
Kreuznach;7012371;;7.8667;49.85;
Kronach;;4033262-7;+011.333055;+050.239444;
Kronstadt;7004272;;25.5833;45.65;
Krummhörn-Greetsiel;;4093928-5;+007.094450;+053.501620;
Kulmbach;1039952;;11.4667;50.1;
Kuttenberg;7011655;;15.25;49.95;
Köln;7004446;4031483-2;6.95;50.9333;
Köndringen;;4457791-6;+007.806129;+048.139400;
Königgrätz;7012051;;15.8333;50.2167;
Königsberg;7013050;4031541-1;20.5;54.6667;
Königsberg i. Bay.;7012518;4031535-6;+010.567610;+050.080800;
Königsberg-Löbenicht;7013050;;20.5;54.6667;
Köslin;;4031607-5;+016.172219;+054.194380;
Köstritz;1036390;;12;50.9167;
Köthen;7012832;;11.9833;51.7667;
Køge;;4420429-2;+012.182140;+055.458019;
