ISIL;ILN;ELN;Bibliothek;Anschrift;PLZ;Ort;Bundesland;Land;Lat;Long;Website;OPAC
DE-296;2165;KNSIHB;Hegau-Bibliothek;Schwarzwaldstr. 7;78224;Singen/Hohentwiel;Baden-Württemberg;DE;47.76262;8.84354;http://www.singen-kulturpur.de/Hegaubibliothek.619.html;http://www.ubka.uni-karlsruhe.de/kgk/
DE-Stg268;2166;S1AB;Staatliche Akademie der Bildenden Künste Stuttgart, Bibliothek;Am Weißenhof 1;70191;Stuttgart;Baden-Württemberg;DE;48.80007;9.17389;http://www.abk-stuttgart.de/;http://www.ubka.uni-karlsruhe.de/kgk/
DE-Ka89;2167;KABK;Staatliche Akademie der Bildenden Künste Karlsruhe, Bibliothek;Reinhold-Frank-Str. 67;76133;Karlsruhe;Baden-Württemberg;DE;49.01297;8.38741;http://www.kunstakademie-karlsruhe.de/akademie/bibliothek/;http://allegro.kunstakademie-karlsruhe.de/cgi-bin/akademie/maske.pl?db=akademie
DE-He205;2168;HDBSFE;Stiftung Reichspräsident-Friedrich-Ebert-Gedenkstätte, Bibliothek;Pfaffengasse 18;69117;Heidelberg;Baden-Württemberg;DE;49.41247;8.70831;http://www.ebert-gedenkstaette.de/pb/,Lde/Startseite/Schueler/Bibliothek.html;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Frei207;2169;FR207;Regierungspräsidium Stuttgart, Landesamt für Denkmalpflege, Dienstsitz Freiburg, Bibliothek;Sternwaldstr. 14;79102;Freiburg/Breisgau;Baden-Württemberg;DE;47.98784;7.85951;http://www.denkmalpflege-bw.de/;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Stg5;2170;S1A005;Linden-Museum Stuttgart, Bibliothek;Hegelplatz 1;70174;Stuttgart;Baden-Württemberg;DE;48.78275;9.17036;http://www.lindenmuseum.de;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Stg251;2171;S1MW;Ministerium für Wissenschaft, Forschung und Kunst Baden-Württemberg, Bibliothek;Königstr. 46;70173;Stuttgart;Baden-Württemberg;DE;48.77608;9.17572;http://mwk.baden-wuerttemberg.de/de/startseite/;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Rtw1;2172;TURWAM;Albertus-Magnus-Gymnasium, Alte Gymnasialbibliothek;Bismarckstr. 2;78628;Rottweil;Baden-Württemberg;DE;48.16171;8.62562;http://www.amgrw.de;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Stg265;2173;S1NM;Staatliches Museum für Naturkunde Stuttgart, Bibliothek;Rosenstein 1;70191;Stuttgart;Baden-Württemberg;DE;48.80547;9.19008;http://www.naturkundemuseum-bw.de/forschung/bibliothek;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Mh36;2174;MAZEWI;ZEW - Leibniz-Zentrum für Europäische Wirtschaftsforschung GmbH, Mannheim / Spezialbibliothek;L 7,1;68161;Mannheim;Baden-Württemberg;DE;49.48195;8.46602;http://www.zew.de;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Stg90;2175;S1HA;Landesarchiv Baden-Württemberg - Hauptstaatsarchiv Stuttgart, Bibliothek;Konrad-Adenauer-Str. 4;70173;Stuttgart;Baden-Württemberg;DE;48.77680;9.18427;http://www.landesarchiv-bw.de/hstas;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-357;2176;S1SHRB;Stadt- und Hospitalarchiv Schwäbisch Hall;Am Markt 5;74523;Schwäbisch Hall;Baden-Württemberg;DE;49.11249;9.73684;https://www.schwaebischhall.de/de/bildung-betreuung/stadt-und-hospitalarchiv/unser-angebot-fuer-sie;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Kon6;2177;KNAL;Archäologisches Landesmuseum, Außenstelle Konstanz, Bibliothek;Benediktiner Pl. 5;78467;Konstanz;Baden-Württemberg;DE;47.66823;9.17911;http://www.konstanz.alm-bw.de;http://www.ub.uni-heidelberg.de/helios/kataloge
DE-Wh1;2178;HDBSWA;Landesarchiv Baden-Württemberg Abt. Staatsarchiv Wertheim;Bronnbach 19;97877;Wertheim;Baden-Württemberg;DE;49.71209;9.54871;http://www.landesarchiv-bw.de/stawt;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-Sa3;2179;SBST;Statistisches Landesamt Saarland, Bibliothek;Virchowstr. 7;66119;Saarbrücken;Saarland;DE;49.21858;7.00827;https://www.saarland.de/stat/DE/service/bibliothek/bibliothek_node.html;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-4102;2179;SBMF;Ministerium der Finanzen und für Wissenschaft Saarland, Bibliothek;Am Stadtgraben 6-8;66111;Saarbrücken;Saarland;DE;49.23226;6.99419;https://www.saarland.de/stat/DE/service/bibliothek/bibliothek_node.html;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-Stg191;2180;S1A191;Fraunhofer-Institut für Arbeitswirtschaft und Organisation (IAO), Bibliothek;Nobelstr. 12;70569;Stuttgart;Baden-Württemberg;DE;48.74120;9.09584;http://www.iao.fraunhofer.de;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-He78;2181;HDBSKF;Deutsches Krebsforschungszentrum, Zentralbibliothek;Im Neuenheimer Feld 280;69120;Heidelberg;Baden-Württemberg;DE;49.41458;8.67204;http://www.dkfz-heidelberg.de/de/zbib/;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-Loer3;2182;FRLOMB;Dreiländermuseum - Musée des Trois Pays, Bibliothek;Basler Str. 143;79540;Lörrach;Baden-Württemberg;DE;47.60997;7.65990;http://www.dreilaendermuseum.eu;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-Ell1;2184;S2ELPG;Peutinger-Gymnasium, Lehrerbibliothek;Peutingerstr. 16;73479;Ellwangen/Jagst;Baden-Württemberg;DE;48.96542;10.13485;http://peutinger-gymnasium.de/;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SOPAC45
DE-D210;2185;DDMPCP;Max-Planck-Institut für Chemische Physik fester Stoffe, Bibliothek;Nöthnitzer Str. 40;01187;Dresden;Sachsen;DE;51.02637;13.71950;http://www.cpfs.mpg.de/de;http://aleph.mpg.de/F?func=file&file_name=find-b&local_base=CPF01
DE-He211;2187;HDAW;Heidelberger Akademie der Wissenschaften, Bibliothek;Karlstr. 4;69117;Heidelberg;Baden-Württemberg;DE;49.41194;8.71295;http://www.haw.baden-wuerttemberg.de;http://aleph.mpg.de/F?func=file&file_name=find-b&local_base=CPF01
;2187;HDMELI;Bibliographie MelLit;;;;;;;;;
DE-1147;2188;S2LGFH;Hochschule für öffentliche Verwaltung und Finanzen Ludwigsburg, Bibliothek;Reuteallee 36;71634;Ludwigsburg;Baden-Württemberg;DE;48.90751;9.18337;https://www.hs-ludwigsburg.de/einrichtungen/bibliothek.html;https://bsz.ibs-bw.de/hslb
DE-Stg255;2189;S1HM;Homöopathie-Archiv des Instituts für Geschichte der Medizin der Robert Bosch Stiftung, Bibliothek;Straußweg 17;70184;Stuttgart;Baden-Württemberg;DE;48.77757;9.20034;https://www.igm-bosch.de/die-bibliothek.html;https://bsz.ibs-bw.de/hslb
DE-Sa18;2190;SBMPIN;Max-Planck-Institut für Informatik, Campusbibliothek für Informatik und Mathematik;Campus E2 3;66123;Saarbrücken;Saarland;DE;49.25649;7.04636;http://www.infomath-bib.de;https://bsz.ibs-bw.de/hslb
DE-Sa18a;2190;SBMPSY;Max Planck Institute for Software Systems, Campusbibliothek für Informatik und Mathematik;Campus E2 3;66123;Saarbrücken;Saarland;DE;49.25649;7.04636;http://www.infomath-bib.de;https://bsz.ibs-bw.de/hslb
DE-747-2;2191;KNWESS;Staatliches Seminar für Schulpädagogik, Bibliothek;St. Longinus Str. 3;88250;Weingarten/Württemberg;Baden-Württemberg;DE;47.80861;9.64677;http://www.infomath-bib.de;https://bsz.ibs-bw.de/hslb
DE-D206;2192;DDMPPH;Max-Planck-Institut für Physik komplexer Systeme, Bibliothek;Nöthnitzer Str. 38;01187;Dresden;Sachsen;DE;51.02690;13.71620;http://www.mpipks-dresden.mpg.de;http://aleph.mpg.de
DE-Ess5;2193;S1ESLD;Regierungspräsidium Stuttgart, Landesamt für Denkmalpflege, Bibliothek;Berliner Str. 12;73728;Esslingen/Neckar;Baden-Württemberg;DE;48.74122;9.30218;http://www.mpipks-dresden.mpg.de;http://aleph.mpg.de
DE-He209;2194;HDBSAF;Netzwerk AlternsfoRschung (NAR), Bibliothek;Bergheimer Str. 20;69115;Heidelberg;Baden-Württemberg;DE;49.40897;8.69039;http://www.nar.uni-heidelberg.de/ueberuns/bibliothek.html;http://aleph.mpg.de
DE-Lg2;2195;S2LGST;Landesarchiv Baden-Württemberg, Abteilung Staatsarchiv Ludwigsburg, Bibliothek;Arsenalpl. 3;71638;Ludwigsburg;Baden-Württemberg;DE;48.89536;9.18933;http://www.landesarchiv-bw.de/stal;https://bsz.ibs-bw.de/aDISWeb/app?service=direct/0/Home/%24DirectLink&sp=SMOPAC46
